"","subject","run","block","trial","N","reward","stimulus","cue","isTarget","key_press","rt","acc","debrief","performance","frustration","demand","temporal","effort","age","gender","comments","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18"
"1","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,1,1,"NA","<p style=""font-size:100px""><b>G</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","G",0,69,28440,0,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"2","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,2,1,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","V",0,69,652,0,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"3","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,3,1,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","V",1,69,3536,1,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"4","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,4,1,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","b",0,69,1851,0,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"5","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,5,1,"NA","<p style=""font-size:100px""><b>t</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","t",0,69,4841,0,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"6","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,6,1,"NA","<p style=""font-size:100px""><b>G</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","G",0,73,12782,1,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"7","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,7,1,"NA","<p style=""font-size:100px""><b>G</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","G",1,73,3509,0,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"8","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,8,1,"NA","<p style=""font-size:100px""><b>P</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","P",0,69,537,0,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"9","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,9,1,"NA","<p style=""font-size:100px""><b>v</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","v",0,73,498,1,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"10","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,10,1,"NA","<p style=""font-size:100px""><b>P</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","P",0,73,2582,1,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"11","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,11,1,"NA","<p style=""font-size:100px""><b>P</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","P",1,73,1480,0,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"12","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",1,12,1,"NA","<p style=""font-size:100px""><b>P</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","P",1,69,760,1,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"13","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",2,1,2,"NA","<p style=""font-size:100px""><b>t</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","t",0,73,980,1,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"14","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",2,2,2,"NA","<p style=""font-size:100px""><b>B</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","B",0,69,1554,0,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"15","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",2,3,2,"NA","<p style=""font-size:100px""><b>B</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","B",0,73,592,1,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
"16","A2967HKT6Y57AG:3U5NZHP4LS8PDRV3ESMTTZ07BMPHPQ","practice",2,4,2,"NA","<p style=""font-size:100px""><b>d</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","d",0,73,896,1,"agree",14,15,15,14,16,"55","FEMALE","NOTHING","Moderate Disagreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement"
