"","subject","run","block","trial","N","reward","stimulus","cue","isTarget","key_press","rt","acc","debrief","performance","frustration","demand","temporal","effort","age","gender","comments","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18"
"1","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,1,1,"NA","<p style=""font-size:100px""><b>B</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","B",0,73,821,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"2","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,2,1,"NA","<p style=""font-size:100px""><b>v</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","v",0,73,756,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"3","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,3,1,"NA","<p style=""font-size:100px""><b>v</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","v",1,73,702,0,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"4","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,4,1,"NA","<p style=""font-size:100px""><b>B</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","B",0,73,797,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"5","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,5,1,"NA","<p style=""font-size:100px""><b>P</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","P",0,73,610,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"6","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,6,1,"NA","<p style=""font-size:100px""><b>P</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","P",1,73,632,0,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"7","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,7,1,"NA","<p style=""font-size:100px""><b>t</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","t",0,73,745,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"8","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,8,1,"NA","<p style=""font-size:100px""><b>t</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","t",1,69,705,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"9","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,9,1,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","b",0,69,933,0,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"10","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,10,1,"NA","<p style=""font-size:100px""><b>p</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","p",0,73,750,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"11","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,11,1,"NA","<p style=""font-size:100px""><b>p</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","p",1,69,827,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"12","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",1,12,1,"NA","<p style=""font-size:100px""><b>B</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","B",0,69,1038,0,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"13","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",2,1,2,"NA","<p style=""font-size:100px""><b>B</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","B",0,73,753,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"14","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",2,2,2,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","b",0,73,1035,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"15","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",2,3,2,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","V",0,73,730,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"16","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",2,4,2,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","b",1,73,1014,0,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"17","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",2,5,2,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","V",1,69,670,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"18","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",2,6,2,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","V",0,69,904,0,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"19","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",2,7,2,"NA","<p style=""font-size:100px""><b>g</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","g",0,69,738,0,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
"20","A2SXCJEZG2B7ML:3EFE17QCRDBMQJBV69QNO45IY7EHSQ","practice",2,8,2,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 2</p>","b",0,73,720,1,"agree",21,17,18,18,20,"38","Male","instructions its very well almost very clear  and helpful. Awesome task I am very impressing. ","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Disagreement","Strong Agreement","Very Strong Disagreement","Moderate Agreement"
