"","subject","run","block","trial","N","reward","stimulus","cue","isTarget","key_press","rt","acc","debrief","performance","frustration","demand","temporal","effort","age","gender","comments","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18"
"1","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,1,1,"NA","<p style=""font-size:100px""><b>v</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","v",0,69,8866.89999999851,0,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"2","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,2,1,"NA","<p style=""font-size:100px""><b>p</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","p",0,73,3351.79999999702,1,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"3","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,3,1,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","V",0,69,1842.29999999702,0,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"4","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,4,1,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","V",1,69,1378.5,1,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"5","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,5,1,"NA","<p style=""font-size:100px""><b>G</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","G",0,73,1141.19999999553,1,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"6","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,6,1,"NA","<p style=""font-size:100px""><b>B</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","B",0,73,2607.5,1,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"7","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,7,1,"NA","<p style=""font-size:100px""><b>B</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","B",1,69,806.5,1,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"8","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,8,1,"NA","<p style=""font-size:100px""><b>D</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","D",0,73,1386.40000000596,1,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"9","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,9,1,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","V",0,73,1372.39999999851,1,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
"10","A3GVUYY3TWRPZT:3URFVVM166OOWH3T10RU3CRBFTJZUF","practice",1,10,1,"NA","<p style=""font-size:100px""><b>V</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","V",1,73,1632.60000000149,0,"agree",3,10,19,21,19,"42","female","Instructions were clear but I think I did poorly even though I was completely focused on this study and had no distractions. I just found it difficult recalling the letters, depending on the speed they were shown.","Moderate Disagreement","Moderate Disagreement","Slight Agreement","Strong Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement","Slight Disagreement","Strong Agreement","Slight Agreement","Moderate Disagreement"
