"","subject","run","block","trial","N","reward","stimulus","cue","isTarget","key_press","rt","acc","debrief","performance","frustration","demand","temporal","effort","age","gender","comments","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18"
"1","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,1,1,"NA","<p style=""font-size:100px""><b>T</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","T",0,69,391934.700000048,0,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"2","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,2,1,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","b",0,69,3702.10000002384,0,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"3","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,3,1,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","b",1,69,3647.19999998808,1,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"4","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,4,1,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","b",1,69,3696.30000001192,1,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"5","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,5,1,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","b",1,69,832.600000023842,1,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"6","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,6,1,"NA","<p style=""font-size:100px""><b>b</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","b",1,69,769.199999988079,1,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"7","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,7,1,"NA","<p style=""font-size:100px""><b>G</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","G",0,69,333.5,0,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"8","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,8,1,"NA","<p style=""font-size:100px""><b>d</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","d",0,69,1592.19999998808,0,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"9","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,9,1,"NA","<p style=""font-size:100px""><b>v</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","v",0,73,11032.8999999762,1,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
"10","AC25X0FNY5XIC:37M28K1J0RJEHTKRD97HFHRRPSFAJU","practice",1,10,1,"NA","<p style=""font-size:100px""><b>p</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","p",0,69,8914.19999998808,0,"agree",17,16,18,21,19,"25","male","good","Slight Agreement","Slight Disagreement","Slight Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Strong Disagreement","Strong Agreement","Strong Agreement"
