"","subject","run","block","trial","N","reward","stimulus","cue","isTarget","key_press","rt","acc","debrief","performance","frustration","demand","temporal","effort","age","gender","comments","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18"
"1","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,1,1,"NA","<p style=""font-size:100px""><b>v</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","v",0,73,25136.5,1,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"2","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,2,1,"NA","<p style=""font-size:100px""><b>G</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","G",0,73,3190.5,1,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"3","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,3,1,"NA","<p style=""font-size:100px""><b>G</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","G",1,73,1690.5,0,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"4","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,4,1,"NA","<p style=""font-size:100px""><b>d</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","d",0,73,3011.20000004768,1,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"5","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,5,1,"NA","<p style=""font-size:100px""><b>d</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","d",1,73,1244.70000004768,0,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"6","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,6,1,"NA","<p style=""font-size:100px""><b>d</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","d",1,73,252.099999904633,0,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"7","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,7,1,"NA","<p style=""font-size:100px""><b>t</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","t",0,73,337.5,1,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"8","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,8,1,"NA","<p style=""font-size:100px""><b>D</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","D",0,73,1055.79999995232,1,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"9","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,9,1,"NA","<p style=""font-size:100px""><b>t</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","t",0,73,718.599999904633,1,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
"10","AR1SBXX7MNOT4:3JRJSWSMQIR6MSZEQTHGVT0TEAR3E6","practice",1,10,1,"NA","<p style=""font-size:100px""><b>t</b></p><p style=""position: absolute; top: 30px; right: 30px; text-align:right; font-size:50px"""">N = 1</p>","t",1,73,633.899999856949,0,"agree",20,20,19,19,20,"50","MALE","GOOD SURVEY","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement"
